Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C3",0805,2,100n,C49678
"C2, C4, C5",1206,3,100u,C7432784
D1,D_SOD-123,1,D,C8598
J1,keypad,1,Conn_01x10_Pin,
J2,screen,1,Conn_01x16_Pin,
J3,HIWA 250-21-2G,1,BTN_R,
J4,HIWA 250-21-2G,1,BTN_Y,
J5,HIWA 250-21-2G,1,SIREN,
J6,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_with_plug",1,Conn_01x02_Socket,
"Q2, Q4, Q5",SOT-23,3,AO3400A,C8545
"R10, R11, R4, R5",0805,4,4k7,C17673
R18,0805,1,30k,C17621
"R2, R3, R6, R7, R8, R9",0805,6,1k,C17513
R20,0805,1,0,C17477
RV1,Potentiometer_Bourns_TC33X_Vertical,1,10k,C719176
"U1, U2",SOIC-16W_7.5x10.3mm_P1.27mm,2,PCF8574,C7605
U3,MODULE_ESP32-C3_SUPERMINI,1,~,
U4,SOT-223-3_TabPin2,1,LM317_SOT-223,C6187
